"{Name : SchwarzschildFlamm, Construction : radiusThresholdOriginal, k : 16, Epsilon : 1.8532591117687602, EpsilonFactor : 1.15, Vertices : 1000, Edges : 10236, ConnectedQ : True, MeanDegree : 20.472, MinDegree : 2, MaxDegree : 39, EdgeDensity : 0.020492492492492492}"
"{Name : ReissnerNordstrom, Construction : radiusThresholdOriginal, k : 16, Epsilon : 1.8471182540877036, EpsilonFactor : 1.15, Vertices : 1000, Edges : 10289, ConnectedQ : True, MeanDegree : 20.578, MinDegree : 2, MaxDegree : 40, EdgeDensity : 0.020598598598598597}"
"{Name : Bardeen, Construction : radiusThresholdOriginal, k : 16, Epsilon : 1.8481624101424239, EpsilonFactor : 1.15, Vertices : 1000, Edges : 10284, ConnectedQ : True, MeanDegree : 20.568, MinDegree : 2, MaxDegree : 40, EdgeDensity : 0.02058858858858859}"
"{Name : Hayward, Construction : radiusThresholdOriginal, k : 16, Epsilon : 1.8511147287228982, EpsilonFactor : 1.15, Vertices : 1000, Edges : 10262, ConnectedQ : True, MeanDegree : 20.524, MinDegree : 2, MaxDegree : 40, EdgeDensity : 0.020544544544544546}"
"{Name : SchwarzschildFlamm_matchedFlatOriginal, Construction : matchedFlatOriginalKNN, k : 16, Epsilon : , EpsilonFactor : , Vertices : 1000, Edges : 9087, ConnectedQ : True, MeanDegree : 18.174, MinDegree : 16, MaxDegree : 27, EdgeDensity : 0.018192192192192192}"
"{Name : ReissnerNordstrom_matchedFlatOriginal, Construction : matchedFlatOriginalKNN, k : 16, Epsilon : , EpsilonFactor : , Vertices : 1000, Edges : 9087, ConnectedQ : True, MeanDegree : 18.174, MinDegree : 16, MaxDegree : 27, EdgeDensity : 0.018192192192192192}"
"{Name : Bardeen_matchedFlatOriginal, Construction : matchedFlatOriginalKNN, k : 16, Epsilon : , EpsilonFactor : , Vertices : 1000, Edges : 9087, ConnectedQ : True, MeanDegree : 18.174, MinDegree : 16, MaxDegree : 27, EdgeDensity : 0.018192192192192192}"
"{Name : Hayward_matchedFlatOriginal, Construction : matchedFlatOriginalKNN, k : 16, Epsilon : , EpsilonFactor : , Vertices : 1000, Edges : 9087, ConnectedQ : True, MeanDegree : 18.174, MinDegree : 16, MaxDegree : 27, EdgeDensity : 0.018192192192192192}"
