"{Name : SchwarzschildFlamm, Construction : radiusThresholdOriginal, k : 16, Epsilon : 1.8532591117687602, EpsilonFactor : 1.15, Vertices : 1000, Edges : 10236, ConnectedQ : True, MeanDegree : 20.472, MinDegree : 2, MaxDegree : 39, EdgeDensity : 0.020492492492492492}"
"{Name : SchwarzschildFlamm_matchedFlatOriginal, Construction : matchedFlatOriginalKNN, k : 16, Epsilon : , EpsilonFactor : , Vertices : 1000, Edges : 9087, ConnectedQ : True, MeanDegree : 18.174, MinDegree : 16, MaxDegree : 27, EdgeDensity : 0.018192192192192192}"
"{Name : SchwarzschildFlamm_matchedFlatStrictRadius, Construction : matchedFlatStrictRadiusThreshold, k : 16, Epsilon : 1.695983118368285, EpsilonFactor : 1.15, Vertices : 1000, Edges : 10951, ConnectedQ : True, MeanDegree : 21.902, MinDegree : 2, MaxDegree : 46, EdgeDensity : 0.021923923923923925}"
